gid	pagina	volgnr	standplaats	ol	nb	x	y	rang	latlon_bonne	crd_bonne
92	368	72	Beilen	6.51675502222222214	52.85861388888888888889	109946	152375	1	01010000206E6C0400E8F3813A28111A40A755560FE76D4A40	01010000206C6C040000000000A0D7FA4000000000B8990241
94	368	85	Bergen op Zoom	4.28819113333333402	51.49487777777777777777	-41357	-401	1	01010000206E6C0400C2A792931B2711404F89AF2758BF4940	01010000206C6C040000000000A031E4C000000000001079C0
95	369	101	Bisselt (Molen)	5.90286335555555564	51.76555277777777777778	70326	30030	1	01010000206E6C0400C8782336889C174071F527A2FDE14940	01010000206C6C040000000000602BF140000000008053DD40
96	369	108	Blokzijl	5.96143002222222229	52.72768333333333333334	72776	137116	1	01010000206E6C040013599B1C81D8174066413BBA245D4A40	01010000206C6C04000000000080C4F14000000000E0BC0041
97	369	109	Bocholt	6.61434113333333329	51.83863333333333333333	119229	39080	1	01010000206E6C0400540491D715751A4046004A5658EB4940	01010000206C6C040000000000D01BFD40000000000015E340
98	373	215	Edam (Toren met klokkenspel)	5.04732446666666679	52.51285555555555555556	11093	112691	1	01010000206E6C0400358932D3753014406D573740A5414A40	01010000206C6C04000000000080AAC540000000003083FB40
99	400	896	Vierlingsbeek	6.01128835555555607	51.59675000000000000000	78098	11365	1	01010000206E6C04003BBFB72C8F0B1840AAF1D24D62CC4940	01010000206C6C0400000000002011F340000000008032C640
100	380	375	Herongen (Korenmolen)	6.25455780000000061	51.39648333333333333333	95365	-10621	1	01010000206E6C04004FC4C7CCAA041940B20943F7BFB24940	01010000206C6C0400000000005048F7400000000080BEC4C0
101	399	867	Uelsen (Signaal)	6.87068279999999998	52.51316388888888888889	134832	114543	1	01010000206E6C040043C29C45947B1B400B22B45AAF414A40	01010000206C6C0400000000008075004100000000F0F6FB40
191	370	126	Boxum	5.72719391111111165	53.17763888888888888889	56369	186971	3	01010000206E6C04004A4A4885A5E81640452301DFBC964A40	01010000206C6C0400000000002086EB4000000000D8D20641
192	372	194	Dreumel (Herv. kerktoren)	5.43127446666666724	51.85056388888888888889	37709	39138	3	01010000206E6C040096BB8703A0B91540DAF70A47DFEC4940	01010000206C6C040000000000A069E24000000000401CE340
193	374	224	Egmond aan den Hoef	4.65350779999999986	52.62229166666666666667	-15597	124879	3	01010000206E6C040040B91226319D12400E74DA40A74F4A40	01010000206C6C0400000000008076CEC000000000F07CFE40
194	374	225	Egmond-Binnen	4.66052724444444433	52.59669166666666666666	-15131	122029	3	01010000206E6C04000206044161A4124085107D64604C4A40	01010000206C6C040000000000808DCDC000000000D0CAFD40
195	374	234	Emderkaap (op Rottumeroog)	6.52973280000000056	53.53469444444444444444	109091	227601	3	01010000206E6C04005A796E46721E1A40F31E18DE70C44A40	01010000206C6C04000000000030A2FA400000000088C80B41
196	375	248	Est	5.31337446666666668	51.85278611111111111111	29585	39332	3	01010000206E6C04006DF0763CE540154045DA641828ED4940	01010000206C6C04000000000040E4DC40000000008034E340
197	376	291	Goudriaan	4.8882355777777784	51.90388888888888888889	299	44930	3	01010000206E6C040003CC96A08D8D13406E7F90A1B2F34940	01010000206C6C04000000000000B072400000000040F0E540
198	377	307	Groninger kaap (op Rottumeroog)	6.52615224444444486	53.53941111111111111111	108840	228121	3	01010000206E6C0400696C6AA7C71A1A401FA95C6C0BC54A40	01010000206C6C0400000000008092FA4000000000C8D80B41
199	377	309	Groot Ammers	4.81785224444444449	51.92380277777777777778	-4541	47147	3	01010000206E6C040072650B0F7B45134038415F2B3FF64940	01010000206C6C04000000000000BDB1C0000000006005E740
200	377	311	Groote kaap op Schiermonnikoog)	6.14373557777777801	53.48383333333333333333	83610	221436	3	01010000206E6C0400154F576B2F931840D0B02B40EEBD4A40	01010000206C6C040000000000A069F44000000000E0070B41
201	378	337	Harmelen	4.96456335555555572	52.09177222222222222222	5528	65835	3	01010000206E6C0400E61F0C7FB6DB134017903231BF0B4A40	01010000206C6C0400000000000098B54000000000B012F040
