gid	page	nr	pagenr	jaar	txt1	txt2	crd_bessel	crd_wgs84	ast	excl	crss	latlon_bessel	latlon_wgs84
105944	53	17	53-17	1902	Gieten	H. K. Stang onder middelsten knop	0101000020806C04001283C0CA71330E417B14AE47430B2141	0101000020407100001283C0CA71330E417B14AE47430B2141	*	 	 	0101000020D41000003E998275DA0E1B4001A461B4D7804A40	0101000020E6100000A902A209330E1B408B4CA707B4804A40
105945	53	1477	53-1477	1922	Gieterveen	H. K. Stang	0101000020806C0400713D0AD7E9C60E413D0AD7A38A1D2141	010100002040710000713D0AD7E9C60E413D0AD7A38A1D2141	 	 	 	0101000020D4100000434840B08C571B40B4C1A4576D834A40	0101000020E6100000D5320E78E2561B40812E489749834A40
105946	53	1478	53-1478	1911	Giethoorn	H. K. Stang onder kruis	0101000020806C0400A4703D0A239A0841CDCCCC4C031F2041	010100002040710000A4703D0A239A0841CDCCCC4C031F2041	 	 	 	0101000020D410000029A1AF7EB64E184080375848D05E4A40	0101000020E6100000E38421042A4E1840A19DBBA1AD5E4A40
105947	53	1479	53-1479	1903	Gildehaus	Kerktoren. Stang	0101000020806C04001F85EB516B9F1041D7A3703D76461D41	0101000020407100001F85EB516B9F1041D7A3703D76461D41	 	 	 	0101000020D4100000629A9EDC9F6E1C4037811EC789254A40	0101000020E61000001FBBF154EB6D1C4095D1C7D968254A40
105948	53	1480	53-1480	1905	Gilze	R. C. K. Stang boven knop	0101000020806C0400295C8FC21149FE400AD7A37094181841	010100002040710000295C8FC21149FE400AD7A37094181841	 	 	 	0101000020D4100000DD519BD204C4134016F685B664C54940	0101000020E610000053EE3518A3C31340E43B08B646C54940
105949	53	1481	53-1481	1906	Ginneken I	R. C. K. Stang boven knop	0101000020806C0400AE47E17A34A6FB40295C8FC2D9481841	010100002040710000AE47E17A34A6FB40295C8FC2D9481841	 	 	 	0101000020D41000007778880B3E2413400B65E8D3DBC84940	0101000020E61000009EC84F4AE2231340D81185BBBDC84940
105950	53	1482	53-1482	1906	Ginneken II	H. K. Stang boven knop	0101000020806C0400295C8FC201A5FB400000000041461841	010100002040710000295C8FC201A5FB400000000041461841	 	 	 	0101000020D4100000FEA115C1FA231340D8B106D4AAC84940	0101000020E610000022D3CE019F23134073771CBD8CC84940
105951	53	1483	53-1483	1906	Ginneken III	Watertoren. Stang	0101000020806C040085EB51B8B6C7FB408FC2F5282F3C1841	01010000204071000085EB51B8B6C7FB408FC2F5282F3C1841	 	 	 	0101000020D41000004D48DA65422C1340E5F30E57EEC74940	0101000020E61000001FD1AE55E62B1340DD7BA545D0C74940
105952	53	330	53-330	1903	Glanerbrug	R. C. K. Stang boven knop	0101000020806C0400CDCCCCCC41141041AE47E17A8DBF1C41	010100002040710000CDCCCCCC41141041AE47E17A8DBF1C41	*	 	 	0101000020D4100000F2AFCB8321E61B400CBEC14CD71B4A40	0101000020E6100000D016222C72E51B4066DC1EA9B61B4A40
105953	53	1484	53-1484	1914	Godlinze	H. K. Stang	0101000020806C04005C8FC2F5CE830E4133333333CB4A2241	0101000020407100005C8FC2F5CE830E4133333333CB4A2241	 	 	 	0101000020D4100000ADEEBF7070421B40F00CC70CD2AF4A40	0101000020E61000004E4538ECC6411B4030AFD1F6ACAF4A40
105954	53	18	53-18	1896	Goedereede	Vuurtoren. Stang boven knop	0101000020806C040054E3A59BA02AEC40D578E9A6B5071A41	01010000204071000054E3A59BA02AEC40D578E9A6B5071A41	*	 	^	0101000020D41000009482ADF6D1CE0F405E6C03CCE0E84940	0101000020E61000002D23381E59CE0F406F18F8CFC1E84940
105955	53	1485	53-1485	1926	Goenga	H. K. Stang	0101000020806C0400295C8FC2856B0541D7A3703D492F2141	010100002040710000295C8FC2856B0541D7A3703D492F2141	 	 	 	0101000020D410000083525A2FA6C51640D5CBCF881C874A40	0101000020E6100000EBFF40EF28C516403F0FBAAEF8864A40
105956	53	1486	53-1486	1909	Goes I	H. K. Stang boven bol	0101000020806C04003D0AD7A388F0E8401F85EB51A9E51741	0101000020407100003D0AD7A388F0E8401F85EB51A9E51741	 	 	 	0101000020D41000001EBA6DF7E41F0F403C47263B86C04940	0101000020E610000079F4F141711F0F403630077768C04940
105957	53	1487	53-1487	1909	Goes II	R. C. K. Stang boven bol	0101000020806C040052B81E858BE9E840F6285C8F41E51741	01010000204071000052B81E858BE9E840F6285C8F41E51741	 	 	 	0101000020D410000047C34BDD421E0F40A8D1E7407EC04940	0101000020E61000007ED50B37CF1D0F4019830B7D60C04940
105958	53	1488	53-1488	1909	Goes III	Raadhuis. Stang	0101000020806C0400EC51B81E7DF0E8407B14AE47DEE61741	010100002040710000EC51B81E7DF0E8407B14AE47DEE61741	 	 	 	0101000020D4100000DDAC3E44D61F0F407EE7B9F99CC04940	0101000020E6100000A9871690621F0F40968FEC347FC04940
105959	53	1489	53-1489	1918	Goes IV	Watertoren. Stang boven peer	0101000020806C040033333333CB72E9405C8FC2F560D51741	01010000204071000033333333CB72E9405C8FC2F560D51741	*	 	^	0101000020D4100000138AA9D8403F0F403D16679D59BF4940	0101000020E610000090ED25EFCB3E0F40E299DEE13BBF4940
105960	53	3561	53-3561	1927	Goes IV	Watertoren. Stang boven knop	0101000020806C040052B81E85CB72E940713D0AD760D51741	01010000204071000052B81E85CB72E940713D0AD760D51741	*	 	 	0101000020D410000069692AED403F0F40F102289B59BF4940	0101000020E6100000A1F6A503CC3E0F408B979FDF3BBF4940
105961	53	1490	53-1490	1905	Goirle I	R. C. K. Stang boven knop	0101000020806C0400295C8FC2153800410AD7A370C3EF1741	010100002040710000295C8FC2153800410AD7A370C3EF1741	 	 	 	0101000020D410000080F9D1BF5B4614407CFD54DD70C24940	0101000020E6100000ADEAFA26F5451440A6A97CF152C24940
105962	53	1491	53-1491	1905	Goirle II	R. C. liefdehuis. Stang boven knop	0101000020806C0400713D0AD741330041B81E85EB62F31741	010100002040710000713D0AD741330041B81E85EB62F31741	 	 	 	0101000020D410000073042C5510441440F02777F7B4C24940	0101000020E6100000E88FC8D2A943144046129D0997C24940
105963	54	1492	54-1492	1905	Goor I	H. K. Stang boven knop	0101000020806C0400295C8FC2DDDE0C4185EB51B8F1D21C41	010100002040710000295C8FC2DDDE0C4185EB51B8F1D21C41	 	 	 	0101000020D4100000F13CAB56E5521A4051517CD2DC1D4A40	0101000020E6100000D201563345521A409AEA231EBC1D4A40
105964	54	1493	54-1493	1905	Goor II	R. C. K. Dakruiter. Stang boven knop	0101000020806C04006666666698F00C4148E17A1462D81C41	0101000020407100006666666698F00C4148E17A1462D81C41	 	 	 	0101000020D41000003BE987627C5B1A40906DD192401E4A40	0101000020E61000002BD62CECDB5A1A40CDF27CDB1F1E4A40
105965	54	1494	54-1494	1911	de Goorn	R. C. K. Stang boven knop	0101000020806C040033333333B386FE4052B81E85E0761F41	01010000204071000033333333B386FE4052B81E85E0761F41	 	 	 	0101000020D4100000AC928490B5C71340A3AD3DDA4C504A40	0101000020E61000000446A42955C71340DF70EFAE2A504A40
105966	54	19	54-19	1895	Gorinchem I	H. K. Stang boven knop	0101000020806C0400FCA9F1D269DDFE4079E926318C0D1A41	010100002040710000FCA9F1D269DDFE4079E926318C0D1A41	*	 	 	0101000020D4100000239350825CE413409A9BD3184DEA4940	0101000020E61000006EAE61F4F9E313403A099BFC2DEA4940
105967	54	1495	54-1495	1907	Gorinchem II	R. C. K. Stang boven knop	0101000020806C0400AE47E17A10DEFE400AD7A3703A101A41	010100002040710000AE47E17A10DEFE400AD7A3703A101A41	 	 	 	0101000020D4100000A1E8C16780E41340CC9B47A67FEA4940	0101000020E610000013D2FFD81DE413407C6F8A8860EA4940
105968	54	1496	54-1496	1907	Gorinchem III	De Kapel. Gemeentebewaarschool. Stang boven knop	0101000020806C04000000000018EAFE400AD7A3703C101A41	0101000020407100000000000018EAFE400AD7A3703C101A41	 	 	 	0101000020D4100000671EA9735CE71340D4BE6F1E80EA4940	0101000020E6100000B1D38AC9F9E61340FB7CA30061EA4940
105969	54	1497	54-1497	1907	Gorinchem IV	Watertoren. Stang onder kruis	0101000020806C0400CDCCCCCCB801FF408FC2F5282A0F1A41	010100002040710000CDCCCCCCB801FF408FC2F5282A0F1A41	 	 	 	0101000020D4100000E61387D1FBEC134096641B8C6CEA4940	0101000020E6100000689467F198EC13403FDACE6E4DEA4940
105970	54	1498	54-1498	1909	Gorishoek	Kustlicht. Bol	0101000020806C0400E17A14AE1F3BEF40D7A3703D3A0A1841	010100002040710000E17A14AE1F3BEF40D7A3703D3A0A1841	 	 	 	0101000020D4100000206EB8E4564D104071E1B99580C34940	0101000020E6100000CB5DB50F164D1040BB7FDFB562C34940
105971	54	1499	54-1499	1923	Gorredijk I	H. K. Stang	0101000020806C0400D7A3703DB67608410AD7A3706A042141	010100002040710000D7A3703DB67608410AD7A3706A042141	 	 	 	0101000020D41000002E28BD00B2411840699C259D9A804A40	0101000020E610000076D10D1F26411840E759BDF276804A40
105972	54	1500	54-1500	1923	Gorredijk II	Postkantoor. Stang	0101000020806C0400E17A14AE617708415C8FC275DD032141	010100002040710000E17A14AE617708415C8FC275DD032141	 	 	 	0101000020D41000006459FF1C0342184074780CCC85804A40	0101000020E610000091C822387741184056FA432262804A40
105973	54	331	54-331	1905	Gorssel I	R. C. K. Stang onder kruis	0101000020806C0400713D0AD73BF5094100000000FAA31C41	010100002040710000713D0AD73BF5094100000000FAA31C41	*	 	 	0101000020D410000049949FF1B4EC1840A06E333BCA1A4A40	0101000020E6100000AF60265022EC18403DC0C79EA91A4A40
