gid	page	nr	pagenr	jaar	txt1	txt2	crd_bessel	crd_wgs84	ast	excl	crss	latlon_bessel	latlon_wgs84
108408	141	3309	141-3309	1914	Willemsoord	H. K. Stang boven knop	0101000020806C04008FC2F5283C7B0841C3F528DCCC682041	0101000020407100008FC2F5283C7B0841C3F528DCCC682041	 	 	 	0101000020D410000021EFF6D80E4118405D946C76B0694A40	0101000020E6100000014B18EC8240184029933F7C8D694A40
108409	141	172	141-172	1895	Willemstad I	H. K. Stang onder knop	0101000020806C040060E5D02231D1F5408D976E92DA231941	01010000204071000060E5D02231D1F5408D976E92DA231941	*	 	 	0101000020D4100000E0B68EFCB5C011405E3C4F52B1D84940	0101000020E6100000F91AC4A867C011409A5154C792D84940
108410	141	3310	141-3310	1908	Willemstad II	R. C. K. Stang	0101000020806C040052B81E85C3DAF54052B81E85E3221941	01010000204071000052B81E85C3DAF54052B81E85E3221941	 	 	 	0101000020D41000009ECDAFB0FDC21140ED40C3B79FD84940	0101000020E61000002C15E846AFC211403910432D81D84940
108411	141	3311	141-3311	1908	Willemstad III	Stadhuis. Stang	0101000020806C0400A4703D0AAFDAF540C3F5285C70271941	010100002040710000A4703D0AAFDAF540C3F5285C70271941	 	 	 	0101000020D410000041605B77EAC21140209D257CF5D84940	0101000020E6100000E8B6770F9CC211406BB013EFD6D84940
108412	142	3312	142-3312	1913	Willige-Langerak	H. K. Stang	0101000020806C0400B81E85EBED01FD400AD7A370C3D61A41	010100002040710000B81E85EBED01FD400AD7A370C3D61A41	*	 	 	0101000020D4100000190D942FF371134040A0DACF0FF94940	0101000020E6100000928B08129571134079472E44F0F84940
108413	142	3313	142-3313	1917	Wilnis	H. K. Stang boven knop	0101000020806C0400E17A14AE9BCBFD40E17A14AED78A1C41	010100002040710000E17A14AE9BCBFD40E17A14AED78A1C41	*	 	 	0101000020D4100000FB1419BE409F1340B47BB3E732194A40	0101000020E610000088D7BA46E19E134061DC796412194A40
108414	142	3314	142-3314	1913	Wilp (Voorst)	H. K. Stang boven knop	0101000020806C04000AD7A370374E09413333333364B61C41	0101000020407100000AD7A370374E09413333333364B61C41	*	 	 	0101000020D41000009221BEEAD19C184014D503CE361C4A40	0101000020E6100000C2083D4D429C1840809AE726161C4A40
108415	142	3315	142-3315	1920	de Wilp (Marum)	H. K. Stang	0101000020806C0400D7A3703DE6FE0941D7A370BD3D682141	010100002040710000D7A3703DE6FE0941D7A370BD3D682141	 	 	 	0101000020D4100000D27A8BBA7C031940625EA7AC258F4A40	0101000020E61000005E3DBC6DE90219400E89BA91018F4A40
108416	142	3316	142-3316	1923	de Wilp (Marum)	H. K. Stang	0101000020806C0400295C8FC2E3FE09415C8FC2F53D682141	010100002040710000295C8FC2E3FE09415C8FC2F53D682141	 	 	 	0101000020D4100000315422857B03194000EF39B5258F4A40	0101000020E610000021045F38E802194071D84C9A018F4A40
108417	142	3317	142-3317	1904	Wilre	R. C. K. Stang boven knop	0101000020806C0400713D0AD7B9370541A4703D0AC54B1341	010100002040710000713D0AD7B9370541A4703D0AC54B1341	 	 	 	0101000020D410000047007406779E1640D0B261CCF76A4940	0101000020E6100000033F1DAAF99D164044FBFA77DC6A4940
108418	142	3318	142-3318	1906	Wilsum	H. K. Stang onder kruis	0101000020806C04005C8FC2F54CAF0741295C8FC2E4CF1E41	0101000020407100005C8FC2F54CAF0741295C8FC2E4CF1E41	 	 	 	0101000020D410000066B37C0CEFD91740AA9F3C9AEE434A40	0101000020E61000006577B7ED66D91740567FD4C2CC434A40
108419	142	3319	142-3319	1906	Windesheim	H. K. Stang	0101000020806C0400AE47E17A481A0941EC51B81E6D441E41	010100002040710000AE47E17A481A0941EC51B81E6D441E41	 	 	 	0101000020D41000004786460ED78718405E83BC958A394A40	0101000020E61000002284E74D48871840AC43630D69394A40
108420	142	3320	142-3320	1912	Winkel I	H. K. Stang boven knop	0101000020806C04000AD7A3701D07FE40B81E856BD52E2041	0101000020407100000AD7A3701D07FE40B81E856BD52E2041	 	 	 	0101000020D4100000B164D23F5EA71340C7E9391F47614A40	0101000020E61000001B9C1E44FFA61340E0E2E97124614A40
108421	142	3321	142-3321	1912	Winkel II	Raadhuis. Stang boven knop	0101000020806C0400295C8FC265DBFD40AE47E1FA592B2041	010100002040710000295C8FC265DBFD40AE47E1FA592B2041	 	 	 	0101000020D4100000D478EB46CD9C13408CFC2A7DC2604A40	0101000020E6100000DBD401B16E9C1340111B03D49F604A40
108422	142	689	142-689	1921	Winschoten I	H. K. Stang boven peer	0101000020806C0400E17A14AEDC3410419A9999997B852141	010100002040710000E17A14AEDC3410419A9999997B852141	 	 	^	0101000020D4100000B6FD9766B4281C400FC0A25065924A40	0101000020E6100000D05DF01502281C401BF3251E41924A40
108423	142	3322	142-3322	1921	Winschoten II	Raadhuis. Stang boven knop	0101000020806C0400CDCCCCCC26341041333333335B862141	010100002040710000CDCCCCCC26341041333333335B862141	 	 	 	0101000020D4100000DC7B8E560C281C4020FA928886924A40	0101000020E61000009A993D0C5A271C4064AC155562924A40
108424	142	3323	142-3323	1921	Winschoten III	R. C. K. Stang	0101000020806C0400E17A14AEF83010415C8FC2F5CD872141	010100002040710000E17A14AEF83010415C8FC2F5CD872141	 	 	 	0101000020D4100000D95A52BCFF241C406A5E447ABE924A40	0101000020E61000005D71D98F4D241C406F2B14459A924A40
108425	142	3324	142-3324	1921	Winschoten IV	Watertoren. Stang	0101000020806C040000000000F5261041000000805E842141	01010000204071000000000000F5261041000000805E842141	 	 	 	0101000020D4100000B064BA020A1B1C405C90495541924A40	0101000020E610000035CDF938581A1C401632CD231D924A40
108426	142	3325	142-3325	1921	Winschoten V	G. K. Stang boven bol	0101000020806C040052B81E85C42E104185EB51B8CE872141	01010000204071000052B81E85C42E104185EB51B8CE872141	 	 	 	0101000020D410000094AF6D4DD7221C405D37EA89BF924A40	0101000020E610000065B23B3625221C40A5A1AE549B924A40
108427	142	3326	142-3326	1899	Winssen	R. C. K. Stang	0101000020806C040014AE47E1D69A0541295C8FC2176C1A41	01010000204071000014AE47E1D69A0541295C8FC2176C1A41	 	 	 	0101000020D4100000110617B200D416403477E63D4DF14940	0101000020E6100000BFA0661482D316409CA7F9E22DF14940
108428	142	3327	142-3327	1926	Winsum (Fr.)	H. K. Stang boven bol	0101000020806C0400F6285C8FC4EC04419A999919A9842141	010100002040710000F6285C8FC4EC04419A999919A9842141	 	 	 	0101000020D4100000C7617959438816406C897929B3934A40	0101000020E61000008FB52D89C8871640019510EF8E934A40
108429	142	3328	142-3328	1919	Winsum (Gr.)	H. K. Stang	0101000020806C040000000000241C0C410AD7A3F08C232241	01010000204071000000000000241C0C410AD7A3F08C232241	 	 	 	0101000020D41000002878D85621121A40E9D5934C72AA4A40	0101000020E610000095A8349C83111A40C1315B5F4DAA4A40
108430	142	690	142-690	1902	Wintelre	R. C. K. Stang boven knop	0101000020806C04005C8FC2F596860241295C8FC2796C1741	0101000020407100005C8FC2F596860241295C8FC2796C1741	*	 	 	0101000020D41000006E977194415D1540563C3FB0D3B84940	0101000020E610000029E32B8ED05C1540CA736D0AB6B84940
108431	142	72	142-72	1889	Winterswijk I	H. K. Stang boven knop	0101000020806C0400C976BE9F231A0E413789416025111B41	010100002040710000C976BE9F231A0E413789416025111B41	 	 	 	0101000020D4100000FFC513602EE21A40D9E637718BFC4940	0101000020E6100000094308E288E11A404104F0BC6BFC4940
108432	142	3329	142-3329	1901	Winterswijk II	R. C. K. Stang boven knop	0101000020806C0400B81E85EB03160E41B81E85EB47101B41	010100002040710000B81E85EB03160E41B81E85EB47101B41	 	 	 	0101000020D41000009D36AD1B33E01A40CCBDC4D97BFC4940	0101000020E6100000C2A9ADB08DDF1A40F863F3255CFC4940
108433	142	691	142-691	1925	Wirdum (Fr.)	H. K. Stang onder bol	0101000020806C0400AE47E17ACC5306416666666684822141	010100002040710000AE47E17ACC5306416666666684822141	*	 	 	0101000020D4100000047118AF1E38174053FDE7D152934A40	0101000020E6100000AA1A79179D3717407FE3FF982E934A40
108434	142	3330	142-3330	1925	Wirdum (Fr.) II	G. K. Stang boven bol	0101000020806C040014AE47E13C5806411F85EBD123832141	01010000204071000014AE47E13C5806411F85EBD123832141	 	 	^	0101000020D4100000862D8F284D3A1740B5B7B30C6A934A40	0101000020E61000000D85877BCB39174048FA14D345934A40
108435	142	3331	142-3331	1916	Wirdum (Gr.)	H. K. Stang boven knop	0101000020806C0400D7A3703D424C0E41000000000D202241	010100002040710000D7A3703D424C0E41000000000D202241	 	 	 	0101000020D4100000688FBA3A75251B40EEFE3AB591A94A40	0101000020E610000055423BD9CC241B40F48946CF6CA94A40
108436	142	3332	142-3332	1900	Wisch	Kasteel. Stang	0101000020806C04000AD7A370730E0B41AE47E17AE6AB1A41	0101000020407100000AD7A370730E0B41AE47E17AE6AB1A41	 	 	 	0101000020D4100000091F204B136D194038A801808BF54940	0101000020E61000002BB77EC97B6C194054994E016CF54940
108437	142	692	142-692	1909	Wissenkerke	H. K. Stang onder windvaan	0101000020806C040052B81E851B29E4400AD7A3700F781841	01010000204071000052B81E851B29E4400AD7A3700F781841	*	 	 	0101000020D41000002D2053A206F90D403A7EC9520FCB4940	0101000020E6100000E6038D3E9EF80D40443DE841F1CA4940
108438	142	3333	142-3333	1926	Witmarsum I	H. K. Stang	0101000020806C0400E17A14AE4D9103415C8FC2F5AB582141	010100002040710000E17A14AE4D9103415C8FC2F5AB582141	 	 	 	0101000020D4100000C219A650F3DD15408468CC70408D4A40	0101000020E6100000AC9773047FDD15409AE2A5691C8D4A40
108439	142	3334	142-3334	1926	Witmarsum II	R. C. K. Stang	0101000020806C04007B14AE47039A0341CDCCCCCC935A2141	0101000020407100007B14AE47039A0341CDCCCCCC935A2141	 	 	 	0101000020D41000006DE14F6637E2154013BCB42D888D4A40	0101000020E6100000CB029AF0C2E1154089CB5A24648D4A40
108440	143	3335	143-3335	1926	Witmarsum III	Augustijnerklooster. Stang	0101000020806C0400CDCCCCCC8E9903417B14AE47765A2141	010100002040710000CDCCCCCC8E9903417B14AE47765A2141	 	 	 	0101000020D4100000F26BA455FEE11540070440D6838D4A40	0101000020E610000000CB18E289E11540071408CD5F8D4A40
108441	143	3336	143-3336	1904	Wittem	Redemptoristenklooster. Stang boven knop	0101000020806C04008FC2F528E6700741F6285C8FEF281341	0101000020407100008FC2F528E6700741F6285C8FEF281341	 	 	 	0101000020D4100000D39FCF0B00A717408F10FD0B4A684940	0101000020E610000096AAD0FF78A617409B2D20CA2E684940
108442	143	3337	143-3337	1915	de Wittenburg	Kasteel. Stang boven knop	0101000020806C040033333333F3BCF44066666666D4FD1B41	01010000204071000033333333F3BCF44066666666D4FD1B41	*	 	 	0101000020D4100000DE5B3988837511407AC9E97A5F0E4A40	0101000020E6100000C3EABFC638751140376D76553F0E4A40
108443	143	3338	143-3338	1921	Wittewierum	H. K. Stang	0101000020806C04003D0AD7A39CFF0D4100000080E4FF2141	0101000020407100003D0AD7A39CFF0D4100000080E4FF2141	 	 	 	0101000020D4100000E9B979E392FE1A4099E3FABFE3A44A40	0101000020E610000006E07D05ECFD1A403062E9FDBEA44A40
108444	143	3339	143-3339	1908	Woensdrecht	R. C. K. Stang boven knop	0101000020806C04007B14AE47495FF340C3F5285C745D1741	0101000020407100007B14AE47495FF340C3F5285C745D1741	 	 	 	0101000020D41000003C0C2099D432114050A1588812B74940	0101000020E6100000A97973118B321140B4866202F5B64940
108445	143	693	143-693	1902	Woensel I	Alleenstaande toren. Stang boven knop	0101000020806C0400C3F5285CF7B6034166666666F5801741	010100002040710000C3F5285CF7B6034166666666F5801741	*	 	 	0101000020D4100000B3F583E1C2EC1540F8A6DAEC54BA4940	0101000020E6100000F8DA308C4CEC1540C209E23937BA4940
108446	143	3340	143-3340	1903	Woensel II	R. C. K. Dakruiter. Stang boven knop	0101000020806C04003333333315A4034114AE47E1F47E1741	0101000020407100003333333315A4034114AE47E1F47E1741	 	 	 	0101000020D41000003AB101F4DAE315404EC831662FBA4940	0101000020E6100000BC46F4F264E315404C0871B411BA4940
108447	143	173	143-173	1897	Woerden I	H. K. Stang onder kruis	0101000020806C0400FED478E9386AFD4066666666F3CB1B41	010100002040710000FED478E9386AFD4066666666F3CB1B41	*	 	 	0101000020D4100000E04BDF0A2F89134001859956210B4A40	0101000020E61000006A53E740D0881340A269CB3F010B4A40
108448	143	3341	143-3341	1913	Woerden II	R. C. K. Stang boven knop	0101000020806C040052B81E85E778FD4085EB51B8A7CA1B41	01010000204071000052B81E85E778FD4085EB51B8A7CA1B41	*	 	 	0101000020D4100000858D1DCCB38C13406F5CA064090B4A40	0101000020E6100000F16D05E0548C1340D6317B4EE90A4A40
108449	143	3716	143-3716	1917	Woerden III	Watertoren. Pijp voor vlaggestok	0101000020806C04008FC2F5288C6EFD405C8FC2F593D01B41	0101000020407100008FC2F5288C6EFD405C8FC2F593D01B41	*	 	 	0101000020D4100000B98C2FE82F8A134012CFC4B4780B4A40	0101000020E6100000CA288415D18913400377539B580B4A40
108450	143	174	143-174	1899	Wognum I	H. K. Stang	0101000020806C04002B8716D90CE0FF40FED47869C0D31F41	0101000020407100002B8716D90CE0FF40FED47869C0D31F41	*	 	 	0101000020D41000000F447CEED51A1440BBE4A77C2C574A40	0101000020E61000003B6BA86F721A1440C276361B0A574A40
108451	143	3342	143-3342	1911	Wognum II	R. C. K. Stang	0101000020806C04001F85EB5160CBFF40E17A14AED8DD1F41	0101000020407100001F85EB5160CBFF40E17A14AED8DD1F41	 	 	 	0101000020D4100000C4A685DDC61514402CD5A145EA574A40	0101000020E610000096A4009263151440EAF390DEC7574A40
108452	143	175	143-175	1894	Wolberg	Pijler	0101000020806C04004C378941E4550741C74B3709AADC1D41	0101000020407100004C378941E4550741C74B3709AADC1D41	*	 	 	0101000020D41000003CAAEBE407AD17406727304E0C324A40	0101000020E61000007608A76881AC174089597800EB314A40
108453	143	3343	143-3343	1921	Woldendorp	H. K. Stang onder bol	0101000020806C0400AE47E17ACA22104114AE47E158F72141	010100002040710000AE47E17ACA22104114AE47E158F72141	 	 	 	0101000020D410000039472B06161C1C4088D4C87E2FA34A40	0101000020E610000062BABD20641B1C405C6910CB0AA34A40
108454	143	694	143-694	1908	Wolphaartsdijk	H. K. Stang onder kruis	0101000020806C0400D7A3703DCAA8E6409A99999963171841	010100002040710000D7A3703DCAA8E6409A99999963171841	*	 	^	0101000020D4100000305AA6C326940E4073A64F8F12C44940	0101000020E610000093B5165DB8930E40517ADEB1F4C34940
108455	143	3717	143-3717	1927	Wolphaartsdijk	H. K. Stang onder kruis	0101000020806C04000AD7A370CDA8E640C3F5285C63171841	0101000020407100000AD7A370CDA8E640C3F5285C63171841	*	 	 	0101000020D41000009C1A8A8727940E404228F38A12C44940	0101000020E61000007C09F320B9930E40E31A82ADF4C34940
108456	143	3344	143-3344	1926	Wolsum	H. K. Stang	0101000020806C040048E17A142A3704410AD7A3708A1F2141	01010000204071000048E17A142A3704410AD7A3708A1F2141	 	 	 	0101000020D41000005370CC1BDD2E16400845015DD4844A40	0101000020E610000048A6E0A3652E1640206DD395B0844A40
108457	143	695	143-695	1914	Woltersum	H. K. Stang onder ondersten bol	0101000020806C0400A4703D0AAFDC0D41AE47E1FA7FF12141	010100002040710000A4703D0AAFDC0D41AE47E1FA7FF12141	*	 	 	0101000020D4100000B1A081BEE2EC1A4011FAE191CBA24A40	0101000020E6100000FD8A8F903CEC1A401C53E1DFA6A24A40
108458	143	3345	143-3345	1926	Wolvega	H. K. Stang	0101000020806C040014AE47E150EF07411F85EB5110952041	01010000204071000014AE47E150EF07411F85EB5110952041	*	 	 	0101000020D410000064110248C2FD1740E0E9D5B440704A40	0101000020E6100000D985C7F338FD174059FE80881D704A40
108459	143	3346	143-3346	1923	Wolvega II	R. C. K. Stang	0101000020806C04005C8FC2F5A60808418FC2F528FF962041	0101000020407100005C8FC2F5A60808418FC2F528FF962041	 	 	 	0101000020D41000004929B1B61F0A18403BA5FA8787704A40	0101000020E610000011B680E9950918409F51755964704A40
108460	143	3347	143-3347	1923	Wolvega III	Postkantoor. Stang	0101000020806C04006666666670F007410000008058952041	0101000020407100006666666670F007410000008058952041	 	 	 	0101000020D4100000296E016C4FFE1740BE9EBA3E4B704A40	0101000020E6100000E3BB6812C6FD1740D9F1131228704A40
108461	143	3348	143-3348	1926	Wommels	H. K. Stang boven ondersten knop	0101000020806C04001F85EB51BC8F0441E17A142ED05D2141	0101000020407100001F85EB51BC8F0441E17A142ED05D2141	 	 	 	0101000020D4100000BBDB69E3795A164007C6DC96FD8D4A40	0101000020E6100000500C6FCD005A1640CCD4CA88D98D4A40
108462	143	3349	143-3349	1926	Wons	H. K. Stang	0101000020806C0400EC51B81EBD37034100000000EF482141	010100002040710000EC51B81EBD37034100000000EF482141	 	 	 	0101000020D4100000640F8FFF1BB21540E18625E2EF8A4A40	0101000020E6100000EF08D75EA9B115403ABB46EDCB8A4A40
108463	143	73	143-73	1900	Workum I	H. K. Stang onder windwijzer	0101000020806C0400894160E5A65F034117D9CEB766ED2041	010100002040710000894160E5A65F034117D9CEB766ED2041	*	 	 	0101000020D4100000CD71908C7EC515404366125C757D4A40	0101000020E6100000088444130BC51540EF03ADCE517D4A40
108464	143	3350	143-3350	1914	Workum II	R. C. K. Stang	0101000020806C0400A4703D0A3B6C034114AE47E1A2F12041	010100002040710000A4703D0A3B6C034114AE47E1A2F12041	*	 	 	0101000020D41000007ED7078DA3CB1540F7945BE7147E4A40	0101000020E6100000C3A48AD82FCB15404D081A55F17D4A40
108465	143	3351	143-3351	1910	Wormer I	R. C. K. Stang boven knop	0101000020806C0400000000005CA0FC401F85EB51DD9D1E41	010100002040710000000000005CA0FC401F85EB51DD9D1E41	 	!	 	0101000020D410000079815438A153134017F45F8A42404A40	0101000020E6100000DA09050D45531340CD124ADC20404A40
108466	143	3352	143-3352	1910	Wormer II	H. K. Stang boven knop	0101000020806C04008FC2F528CCB7FC40666666667C9F1E41	0101000020407100008FC2F528CCB7FC40666666667C9F1E41	 	 	 	0101000020D41000006E4A4014465913407C9F6CF261404A40	0101000020E6100000FFB977B2E958134075984C4340404A40
108467	143	3353	143-3353	1916	Wormerveer I	H. K. Stang boven knop	0101000020806C040052B81E858BF9FB4085EB51B865921E41	01010000204071000052B81E858BF9FB4085EB51B865921E41	*	 	 	0101000020D410000041CB9A81772B1340BCEC7224643F4A40	0101000020E61000001F6ADED91C2B1340F2F0BC7D423F4A40
108468	144	3354	144-3354	1916	Wormerveer II	Rijstpellerij "Hollandia". Stang boven knop	0101000020806C04008FC2F528E00EFC40295C8FC24C8E1E41	0101000020407100008FC2F528E00EFC40295C8FC24C8E1E41	*	 	 	0101000020D41000007C2C6143A5301340CE2A14BB173F4A40	0101000020E610000000A270684A3013402F309216F63E4A40
108469	144	3718	144-3718	1916	Wormerveer III	R. C. K. Stang boven knop	0101000020806C040052B81E852FF4FB400000000090901E41	01010000204071000052B81E852FF4FB400000000090901E41	 	 	^	0101000020D4100000877F2737302A1340F3796559413F4A40	0101000020E6100000DF396D9BD529134082A7C0B31F3F4A40
108470	144	3355	144-3355	1906	Wortel (B.)	R. C. K. Stang onder kruis	0101000020806C04009A999999D1C1FB4014AE47E14E211741	0101000020407100009A999999D1C1FB4014AE47E14E211741	 	 	 	0101000020D41000001B06C8480B2D134008BDD45819B34940	0101000020E6100000BEA736F5AE2C1340F96531E7FBB24940
108471	144	3356	144-3356	1915	Woubrugge	H. K. Stang boven knop	0101000020806C04009A9999991955F9400AD7A370385B1C41	0101000020407100009A9999991955F9400AD7A370385B1C41	*	 	 	0101000020D410000015DC47A8EB8D12401B744D8683154A40	0101000020E610000084240C72968D124091E83D2463154A40
108472	144	3357	144-3357	1915	't Woud	H. K. Stang	0101000020806C040000000000DC83F34048E17A14F0361B41	01010000204071000000000000DC83F34048E17A14F0361B41	*	 	 	0101000020D4100000642654AA7E2D1140AD3CE812A5FF4940	0101000020E610000097EEF365362D1140DAB9296085FF4940
108473	144	3358	144-3358	1907	Woudenberg	H. K. Stang boven knop	0101000020806C040052B81E854B2103413333333374C51B41	01010000204071000052B81E854B2103413333333374C51B41	 	 	 	0101000020D4100000CD9517208BA61540A5B0610CCA0A4A40	0101000020E6100000FA64DEFA17A61540DD3FACF0A90A4A40
108474	144	3359	144-3359	1906	Woudrichem	H. K. Stang onder kruis	0101000020806C04001F85EB513860FF40666666668AF61941	0101000020407100001F85EB513860FF40666666668AF61941	 	 	 	0101000020D41000000917BD2E92031440F33879C29EE84940	0101000020E6100000B08ED6712E0314402DA8ABB27FE84940
108475	144	696	144-696	1923	Woudsend I	H. K. Stang	0101000020806C0400F6285C8F26E50441333333B395CD2041	010100002040710000F6285C8F26E50441333333B395CD2041	*	 	 	0101000020D4100000BB84B0AA558316401BBAE17FBE784A40	0101000020E6100000E63FDDE0DA821640B0A5E0149B784A40
108476	144	3360	144-3360	1923	Woudsend II	G. K. Stang	0101000020806C0400333333336BEA0441333333B364CF2041	010100002040710000333333336BEA0441333333B364CF2041	 	 	 	0101000020D4100000D007C530EA8516400EE6448202794A40	0101000020E61000005937074E6F851640F6DF3215DF784A40
108477	144	3361	144-3361	1925	Wouterswoude I	H. K. Stang boven knop	0101000020806C040066666666E62108417B14AE47F7062241	01010000204071000066666666E62108417B14AE47F7062241	 	 	 	0101000020D4100000CA58695CC71C1840D46FB3FEB2A64A40	0101000020E61000002DA543053D1C1840148D5E2F8EA64A40
108478	144	3362	144-3362	1925	Wouterswoude II	G. K. Stang boven knop	0101000020806C0400AE47E17A0031084133333333C5FE2141	010100002040710000AE47E17A0031084133333333C5FE2141	 	 	 	0101000020D41000005215E89C0E241840907A21D57CA54A40	0101000020E61000004EA3B6FC8323184026C7160F58A54A40
108479	144	3363	144-3363	1907	Wouw	R. C. K. Stang boven knop	0101000020806C040085EB51B8D6E5F4405C8FC2F582FC1741	01010000204071000085EB51B8D6E5F4405C8FC2F582FC1741	 	 	 	0101000020D410000085102E2AC98C1140B1E68A29E3C24940	0101000020E6100000E97190777C8C11406542F846C5C24940
108480	144	3364	144-3364	1907	Wouwsche-Plantage	R. C. K. Stang boven knop	0101000020806C040066666666E2EEF4405C8FC2F530B81741	01010000204071000066666666E2EEF4405C8FC2F530B81741	 	 	 	0101000020D41000004F8E57D7CD8F1140A0091EE1DBBD4940	0101000020E6100000491A28F6808F1140E1B80C25BEBD4940
108481	144	3365	144-3365	1908	Wuest-Wezel (B.)	R. C. K. Stang boven knop	0101000020806C0400666666668E70F8400000000081121741	010100002040710000666666668E70F8400000000081121741	 	 	 	0101000020D4100000E5B06CFC3C651240E9556A53DCB14940	0101000020E6100000A126840AE8641240B47BF9EEBEB14940
108483	144	698	144-698	1899	Wijchen I	Kasteel. Stang boven knop	0101000020806C04000000000066C905419A99999995E81941	0101000020407100000000000066C905419A99999995E81941	*	!	 	0101000020D410000061A50C2094E916401DD867129CE74940	0101000020E6100000B806C5A614E91640C0D6B3017DE74940
108484	144	3719	144-3719	1909	Wijchen I	Kasteel. Stang	0101000020806C040085EB51B868C905419A99999995E81941	01010000204071000085EB51B868C905419A99999995E81941	*	 	 	0101000020D4100000C9FFF06A95E91640F21D49129CE74940	0101000020E61000009A039DF115E91640DF1A95017DE74940
108485	144	3366	144-3366	1900	Wijchen II	R. C. K. Stang onder kruis	0101000020806C0400F6285C8F90C6054148E17A14FAE41941	010100002040710000F6285C8F90C6054148E17A14FAE41941	 	 	 	0101000020D41000000101674D37E8164080FF373058E74940	0101000020E61000006B49CEE0B7E716404FCB8F2139E74940
108486	144	3367	144-3367	1900	Wijchen III	Franciscanerklooster. Dakruiter. Stang	0101000020806C04006666666646030641A4703D0A63DF1941	0101000020407100006666666646030641A4703D0A63DF1941	 	 	 	0101000020D410000060112A94090517406F50E506ECE64940	0101000020E610000009B0541389041740979D41FBCCE64940
108487	144	74	144-74	1900	Wijckel	H. K. Stang onder haan	0101000020806C040023DBF97E09DF04411B2FDD24659F2041	01010000204071000023DBF97E09DF04411B2FDD24659F2041	*	 	 	0101000020D41000009DF700D50E80164035436C89F1714A40	0101000020E61000003A58B920947F16407C7CC052CE714A40
108488	144	699	144-699	1911	Wijdenes	H. K. Stang boven knop	0101000020806C0400295C8FC2AB030141AE47E17AE5851F41	010100002040710000295C8FC2AB030141AE47E17AE5851F41	 	 	 	0101000020D4100000D2F94FB3A7A01440DEC301A07B514A40	0101000020E6100000F722510D3FA01440CA9D606859514A40
108489	144	176	144-176	1897	Wijhe I	H. K. Stang boven knop	0101000020806C0400B29DEFA7852209417F6ABC741CDB1D41	010100002040710000B29DEFA7852209417F6ABC741CDB1D41	*	 	^	0101000020D41000002212E158C38A18400DEEE7B2C8314A40	0101000020E61000004A6D4377348A184070612766A7314A40
108490	144	3720	144-3720	1906	Wijhe I	H. K. Stang	0101000020806C04001F85EB5185220941508D976E1CDB1D41	0101000020407100001F85EB5185220941508D976E1CDB1D41	*	 	 	0101000020D41000002082692FC38A1840887D7CB2C8314A40	0101000020E6100000EF6ECD4D348A18404BF4BB65A7314A40
108491	144	3368	144-3368	1906	Wijhe II	R. C. K. Stang	0101000020806C0400F6285C8FD22B094148E17A14C2E11D41	010100002040710000F6285C8FD22B094148E17A14C2E11D41	 	 	 	0101000020D41000001C6804784E8F18408924A71445324A40	0101000020E610000079BBAA6ABF8E1840CEA626C423324A40
108492	144	3369	144-3369	1904	Wijk (Lmb.)	R. C. K. Stang boven knop	0101000020806C0400295C8FC2D9980541295C8FC25A671341	010100002040710000295C8FC2D9980541295C8FC25A671341	 	 	 	0101000020D41000005D3B595BC1CB1640B8F5C63BFC6C4940	0101000020E6100000F39F9C5942CB1640FE9589D7E06C4940
108493	144	700	144-700	1905	Wijk (N. Br.)	H. K. Stang boven knop	0101000020806C0400B81E85EB63C300410AD7A37015941941	010100002040710000B81E85EB63C300410AD7A37015941941	*	 	 	0101000020D410000003428AD6BC8614400D9BBE116AE14940	0101000020E61000007E11ED215486144062F650374BE14940
108494	144	701	144-701	1909	Wijk-aan-Zee I	H. K. Stang	0101000020806C04000000000044A6F840CDCCCCCCA8901E41	0101000020407100000000000044A6F840CDCCCCCCA8901E41	*	 	 	0101000020D4100000F9E95CCF195E12406DB9DCD71C3F4A40	0101000020E610000048BD7EF1C65D1240A64F1D37FB3E4A40
108495	144	3370	144-3370	1916	Wijk-aan-Zee II	R. C. K. Stang boven knop	0101000020806C0400A4703D0AC7A0F84033333333CD911E41	010100002040710000A4703D0AC7A0F84033333333CD911E41	*	 	 	0101000020D41000009A9CCCC0C35C1240C70D5616323F4A40	0101000020E6100000C57330F0705C1240E817FA74103F4A40
108496	145	702	145-702	1907	Wijk-bij-Duurstede I	H. K. Stang op den Z.O. hoek	0101000020806C04001F85EB519E92024148E17A14F9041B41	0101000020407100001F85EB519E92024148E17A14F9041B41	*	 	 	0101000020D410000044770B6E6E62154076444D509DFC4940	0101000020E61000003CA61FBCFD6115403A4039A27DFC4940
108497	145	3371	145-3371	1907	Wijk-bij-Duurstede II	Kasteel. Hoogste toren. Stang boven knop	0101000020806C04008FC2F528488D02411F85EB51C0FF1A41	0101000020407100008FC2F528488D02411F85EB51C0FF1A41	 	 	 	0101000020D4100000ED5A7C9EE35F1540C29665D83AFC4940	0101000020E61000002E8D3404735F15400C584D2D1BFC4940
108498	145	3372	145-3372	1907	Wijk-bij-Duurstede III	R. C. K. Stang boven knop	0101000020806C04007B14AE479B960241EC51B81E1B051B41	0101000020407100007B14AE479B960241EC51B81E1B051B41	 	 	 	0101000020D4100000ABD9935A55641540D8AF64D79FFC4940	0101000020E610000027216A96E4631540DD7D372980FC4940
